frame,track,x,y,width,height,angle,n
1,1,792.838028169014,294.353737811484,37.1400461425579,66.607647154638,168.346182797909,1846 
2,1,791.362944162437,300.170050761421,38.0699061598808,68.2345479776866,177.26302672674,1970 
3,1,790.163505894413,304.941055868785,38.198119264035,67.437204678548,4.43124947841002,1951 
4,1,787.310309278351,309.511340206186,38.1546190659947,67.0831600179199,2.82158814863242,1940 
5,1,785.280412371134,316.313402061856,38.1526915882744,67.244807553077,7.75566091779081,1940 
6,1,782.955566650025,322.924113829256,38.972186692378,67.3454629964259,14.1122526581485,2003 
7,1,777.963699651915,329.34659373446,39.0863632638507,67.6249331693071,20.3997465504437,2011 
8,1,776.537165510406,333.792368681863,38.967867398248,67.8371262470976,23.0391343662933,2018 
9,1,772.600692726373,337.749134092034,38.953555641535,68.1902959041689,28.6541698934078,2021 
10,1,771.481142241379,337.150862068966,37.3241377856489,66.2435756333276,27.9269504664922,1856 
11,1,769.514568158169,337.224245577523,38.0187193850905,66.9088560500145,32.878310470748,1922 
12,1,765.315270935961,341.088669950739,38.5592215064957,69.309147964539,40.5858324923593,2030 
13,1,760.918518518519,344.095308641975,38.2648220399629,69.3988168297002,47.0866321562688,2025 
14,1,757.810907237513,346.200305810398,38.1326814193938,67.6190048126842,52.8466012415814,1962 
15,1,752.276976628543,348.797613127797,38.4565651172065,68.6567390441821,58.5195432764452,2011 
16,1,745.694831013917,350.657554671968,38.4603958183408,68.850951131264,63.0649381306061,2012 
17,1,740.906523855891,351.36270691334,38.7895838835484,69.3629224107055,67.6178996108715,2054 
18,1,736.518305439331,351.94089958159,37.785595054075,66.9528912839663,75.165520780498,1912 
19,1,729.758130081301,351.506605691057,38.14900963797,67.860037144415,84.2666394085326,1968 
20,1,724.052114060964,351.070304818092,38.8953194016405,68.8594476265202,90.6092920514134,2034 
21,1,717.850864197531,350.182716049383,38.9190104821378,68.3329817824738,99.3745449292965,2025 
22,1,712.270243417784,348.680079483358,38.5705353107843,68.8929096584959,104.002590579029,2013 
23,1,708.087132725431,347.650962512665,38.4272415106482,67.8258378782301,109.764529940786,1974 
24,1,703.999007444169,345.190074441687,38.8513859299589,67.9461082676607,115.935832354141,2015 
25,1,699.09133611691,343.326200417537,37.8555916582888,67.1970836427047,124.757443709683,1916 
26,1,695.516028955533,340.5367114788,38.0594070922027,67.4973959736704,133.832563406252,1934 
27,1,693.273047858942,336.771284634761,38.6067355108139,67.8430247982761,138.063049223742,1985 
28,1,688.870999507632,331.967503692762,39.0211370454764,68.3232553170413,146.927414434444,2031 
29,1,686.453703703704,327.030214424951,38.9426682609403,68.9972497155433,153.784180209111,2052 
30,1,684.55816226784,322.818670576735,39.059402519478,68.829367193127,157.324166870689,2046 
31,1,681.737024221453,318.215521502719,38.8842522815538,68.3827162344832,160.709092987487,2023 
32,1,680.628698224852,313.469921104536,39.0025645539093,68.3549426353441,166.74648269557,2028 
33,1,680.639842983317,309.985279685967,38.9273975145084,68.7226212383864,172.308181847317,2038 
34,1,680.579411764706,304.070588235294,39.0973840546896,68.516709111273,1.05151953968102,2040 
35,1,681.921867321867,299.998034398034,39.1483590827507,68.1501892367463,9.00099765265439,2035 
36,1,683.70774476376,295.632245494398,39.1989689869799,68.9039509528042,14.884930922837,2053 
37,1,684.036597428289,294.545004945598,38.9321870726122,68.3614174517776,19.3845390505108,2022 
38,1,687.044753853804,290.247637991049,38.8837398234619,67.9718567707613,27.0366628559895,2011 
39,1,689.426091269841,286.813492063492,38.8932829687431,68.1287437092305,34.1929804878989,2016 
40,1,691.085843373494,284.49297188755,38.4259888234541,68.1107604662401,39.5717570582341,1992 
41,1,692.883663366337,281.417326732673,38.2080440928617,69.5519013834055,46.5840440489656,2020 
42,1,698.634085213033,277.608521303258,38.4344872597646,68.4588698014317,56.1851018014043,1995 
43,1,698.660933660934,275.792137592138,38.6310087549892,69.4451573364276,60.2493149029541,2035 
44,1,703.372822299652,273.109009457442,38.3786076073853,69.0483805647688,68.8609476960156,2009 
45,1,710.728513650152,269.906976744186,38.1449001648421,68.3680984750727,82.7223068414469,1978 
46,1,716.013595166163,269.220040281974,38.4538659968333,68.1318466717507,93.549812552913,1986 
47,1,720.042433537832,269.645705521472,38.1273324980493,68.0385385556873,94.9919597597936,1956 
48,1,725.029043565348,269.880821231848,38.5450732702708,68.2676513903196,105.292186067693,1997 
49,1,730.122910521141,270.970501474926,38.6910762710902,69.0087396111026,113.78155838307,2034 
50,1,736.526728788622,273.609122118686,39.0419219677051,68.876410489257,120.976556237238,2039 
51,1,742.290801186944,275.543026706231,38.963694700372,68.6668929781272,130.459433080825,2022 
52,1,744.360138135175,275.589541193883,38.8957135692156,68.7142069876567,134.08520759732,2027 
53,1,747.295908183633,278.459580838323,38.0890449349859,69.325903984629,137.725951408154,2004 
54,1,751.158023483366,282.889921722114,38.9433014847613,69.7372761915778,145.326150745221,2044 
55,1,754.730387288977,285.785501489573,38.6733235652212,69.0202117560212,147.56934611748,2014 
56,1,755.106393362616,287.793557833089,38.6685281210457,70.8712773528749,149.400166010798,2049 
57,1,755.102551521099,286.122178606477,38.4937798236456,70.1746343875552,151.770404265951,2038 
58,1,755.107264748903,287.813749390541,38.6283561211311,70.5144038053369,151.586908617533,2051 
59,1,755.70808678501,289.194773175542,38.5657169904633,70.20747700796,152.590289159555,2028 
60,1,755.880333496812,289.163315350662,38.7120942266152,70.2847420218064,154.74862588273,2039 
61,1,754.504495504496,288.955044955045,38.2861349337787,69.6004104532464,152.809997524693,2002 
62,1,754.00303030303,288.708585858586,38.2088958188678,68.9913342850599,151.95690474948,1980 
63,1,753.993477170095,288.88058203713,38.4390279871174,68.968345984964,150.962907651302,1993 
64,1,753.683333333333,288.99797979798,38.3718960105814,69.5485380681383,152.572314416456,1980 
65,1,753.371733333333,289.150933333333,37.5340022394685,67.4151655382181,152.178729145626,1875 
66,1,753.274381000505,290.128852956038,38.4674151573468,69.5665675318238,155.670671335965,1979 
67,1,756.113961519487,293.512580167736,38.1697826869833,73.0980239221848,165.317271532034,2027 
68,1,759.465799614644,298.897880539499,38.3135901290992,74.1722647699764,172.325184767237,2076 
69,1,761.106601466993,304.240586797066,38.3419172242352,73.1552471323229,175.969256578826,2045 
70,1,761.642717497556,306.957478005865,38.2754291613756,72.1831692022337,0.651209935316089,2046 
71,1,761.347911547912,309.858476658477,38.1568016646839,71.516111271887,5.84878231213331,2035 
72,1,762.119130004943,312.546712802768,37.9740359779784,71.5966780602356,9.98570232607143,2023 
73,1,764.445519348269,312.959266802444,38.1388759984609,68.0789627974289,16.7339213963012,1964 
74,1,765.448574338086,313.498472505092,38.1215474362333,68.2144737949754,25.798023797471,1964 
75,1,762.192039800995,317.153731343284,37.9990091860984,71.6274679419442,38.1373998561046,2010 
