frame,track,x,y,width,height,angle,n
1,1,397.7381767,457.6323204,70.13824286,91.34326493,178.6879524,4969 
1,2,570.3373538,428.0687135,56.22423396,62.26342723,97.8869291,2736 
1,3,413.413097,310.2619399,38.22025315,69.48449498,37.64497236,2031 
1,4,583.9589041,207.9902668,53.79376185,66.25927898,163.2059693,2774 
2,1,399.4097222,461.9150794,70.70791213,91.8703675,179.9794157,5040 
2,2,572.0558357,431.5886167,56.58410259,62.74476316,80.77959444,2776 
2,3,412.4747378,316.3074357,38.58418009,70.98430766,39.33437277,2098 
2,4,584.1488842,208.5951883,54.93107917,66.89200209,178.750127,2868 
3,1,400.5769079,467.9193357,70.98519947,91.83718413,4.15879403,5058 
3,2,573.4446033,435.9152966,56.69044859,63.07839598,66.4863835,2798 
3,3,412.3764874,322.1113755,38.90635438,70.35926443,42.23896455,2101 
3,4,585.2653699,209.487322,54.66359738,67.44388596,9.775117125,2879 
4,1,402.2789589,473.4228095,70.6945551,91.66983088,6.4514414,5033 
4,2,576.5241354,439.3746398,56.52916033,62.76177604,49.65623649,2776 
4,3,412.6731235,328.0891041,38.63969647,69.75439593,43.99301259,2065 
4,4,588.0933617,210.1228257,54.15736311,66.65487087,17.26122208,2817 
5,1,402.2159113,478.9948545,70.98327951,91.68286563,8.506276497,5053 
5,2,577.8181818,441.8153072,56.6426557,62.83175831,36.09679812,2783 
5,3,411.8323837,333.6642925,38.83131125,70.79201917,46.66590306,2106 
5,4,589.966304,212.1003861,54.546298,66.89079204,28.80529156,2849 
6,1,403.2857708,482.8375223,70.69525038,92.04446427,13.20244133,5053 
6,2,578.109319,444.6978495,56.58192108,63.13555887,24.36324374,2790 
6,3,412.0889629,337.9410086,38.85096393,70.68833598,50.06099774,2102 
6,4,592.0376495,214.1724138,54.52081572,66.71682213,37.31638637,2842 
7,1,403.6836674,485.3927367,70.4695266,92.09805806,20.73089968,5039 
7,2,579.08418,447.5732946,56.39859068,62.55673476,5.864877565,2756 
7,3,413.1251194,340.951767,38.85275891,70.27612118,49.18810203,2094 
7,4,593.5719844,216.2529183,54.22429069,66.68919745,46.93161911,2827 
8,1,404.336443,489.0047638,70.47985798,92.16040129,29.86293178,5038 
8,2,579.4655667,450.6868723,56.8303463,62.8121544,170.145913,2788 
8,3,413.1494969,346.6320077,38.67771996,70.1684015,51.82345003,2087 
8,4,594.4408754,217.7094952,54.1525553,66.97154676,50.35364971,2833 
9,1,404.5034868,491.9830644,70.2465282,92.14609087,37.52895592,5019 
9,2,579.4028179,453.6690751,56.35443288,62.83557342,151.1520329,2768 
9,3,412.5590626,352.1740794,38.72870707,70.38228567,55.06012221,2091 
9,4,596.9487633,220.2162544,54.4429378,66.52449489,58.59985601,2830 
10,1,403.2518489,495.8734759,70.21442921,91.93539948,42.19832603,5003 
10,2,578.9195652,455.6822464,56.45897454,62.5045736,139.1828877,2760 
10,3,411.0889952,357.776555,38.79718535,70.34746451,57.63138353,2090 
10,4,598.6553415,223.8802102,54.37344975,67.20472041,67.93345415,2855 
11,1,403.2673069,500.2867147,70.16785002,91.98584045,46.34915531,4998 
11,2,579.8534639,457.6557853,56.49267184,62.42927623,125.0062024,2757 
11,3,410.2708033,363.6445406,38.58147361,70.25160431,59.98631364,2079 
11,4,601.069979,227.7690693,54.39373911,67.24812081,79.1828851,2858 
12,1,402.5403033,506.0265363,70.2213833,92.12055691,50.77491126,5012 
12,2,579.7611131,460.9765089,56.61304062,62.56022316,114.3250601,2767 
12,3,408.3840716,369.9952875,39.15435168,70.73511515,62.12506949,2122 
12,4,602.345359,232.2812609,54.62798576,67.01147909,88.37195549,2855 
13,1,402.0955325,510.9611089,70.26173485,92.10345593,53.38748797,5014 
13,2,580.5403458,463.5698847,56.60049062,62.76228551,99.0844325,2776 
13,3,408.3290598,375.8148148,38.81794537,70.63676522,65.05102528,2106 
13,4,604.3735755,236.877849,53.71527636,67.04136776,97.67819017,2808 
14,1,401.4520247,515.9152204,70.27200865,92.05711945,57.63754827,5013 
14,2,579.3847818,466.5362423,56.91477622,62.34093267,80.29992142,2773 
14,3,406.058156,382.0070922,39.03989161,70.64905629,66.73036977,2115 
14,4,603.9921652,241.6869658,53.8049573,66.85741232,109.2926616,2808 
15,1,399.2956573,520.4638112,70.60095162,92.14877317,62.03835774,5043 
15,2,578.4732879,469.6998924,56.74627985,62.86235051,67.06053421,2789 
15,3,403.8802817,387.8938967,39.26220589,70.64449299,69.74913234,2130 
15,4,604.6464539,246.6276596,53.84968307,67.06304253,120.4240067,2820 
16,1,398.1012557,524.9772773,70.5759031,91.72499734,66.02386665,5017 
16,2,579.5945554,473.1161525,56.39329812,62.48866895,49.19865163,2755 
16,3,403.2956397,393.2371826,38.81728882,70.17892496,71.20076702,2087 
16,4,605.4344729,251.7592593,53.73939458,66.86444161,130.8691852,2808 
17,1,397.612485,528.5448744,70.46559453,91.77592303,71.22017686,5014 
17,2,580.167628,476.6914203,56.65258557,62.61981357,38.20541207,2774 
17,3,401.2297105,399.3706692,38.96164991,70.5179624,73.31452654,2107 
17,4,606.1367642,257.1543884,54.06111774,67.15189928,144.3981146,2837 
18,1,396.5161355,532.5758964,70.52629691,91.76016338,72.81376313,5020 
18,2,580.3141003,479.8914533,56.62523278,62.65718965,26.06517194,2773 
18,3,399.9103416,405.3391841,38.99905445,70.46425095,74.06690097,2108 
