frame,track,x,y,width,height,angle,n
1,1,378.591567,308.3001888,66.79904067,91.78292293,137.8808303,4767 
1,4,632.0397048,253.7881237,54.65316532,66.40452844,174.4539906,2846 
1,2,412.1171072,212.6578561,57.36021666,60.59291763,82.7091263,2724 
1,3,534.8848701,155.8960774,37.09570778,69.9759394,173.2877943,1963 
2,1,376.3316719,309.1561786,67.21883007,92.10135852,137.5269541,4815 
2,4,611.7146834,253.2926235,54.55665032,67.17440807,144.8447689,2874 
2,2,411.7595707,219.1431127,57.50426684,62.09346845,101.8728891,2795 
2,3,531.3713866,153.1190593,38.32049763,70.35443607,173.0168559,2041 
3,1,373.4548087,308.9578077,67.43701141,92.21409219,136.9938606,4835 
3,4,590.9706289,262.5006911,55.01957448,67.05607712,117.6543389,2894 
3,2,408.9285969,225.1752945,57.39637614,62.31504549,127.9446007,2801 
3,3,528.8826108,150.830492,38.47802875,70.22987973,172.186064,2053 
4,1,371.1723211,307.9067025,67.45869426,92.0579689,137.9248124,4834 
4,4,576.1340743,281.3258076,54.86644885,66.90173672,83.67986054,2879 
4,2,405.1583483,228.4725314,57.78674307,61.45379721,153.224032,2785 
4,3,527.1269531,148.784668,38.39258911,70.03928561,171.0459771,2048 
5,1,368.4755997,307.0820926,67.44284034,92.09904598,138.7136425,4836 
5,4,571.0399444,306.4567558,55.00057478,66.77121419,53.03702671,2879 
5,2,399.8553391,229.8088023,57.8949859,61.15366183,177.8733884,2772 
5,3,524.9206114,147.5138067,38.17633707,69.96844798,170.0338536,2028 
6,4,577.7623796,333.0684319,55.29465635,67.06910926,18.20043187,2908 
6,1,365.141196,306.1582226,67.22654046,92.13156292,137.6358933,4816 
6,2,395.8785792,228.942008,57.90485953,60.84621607,24.69379886,2759 
6,3,522.6927593,146.0014677,38.32214571,70.28196374,169.4219165,2044 
7,4,598.6973865,351.1296424,55.04416052,67.39168155,159.3896338,2908 
7,1,363.2063623,305.0177649,67.46181902,92.22327294,138.0297564,4841 
7,2,395.787027,228.6767568,57.59667099,61.51353218,48.8009033,2775 
7,3,520.7102301,143.9393049,38.24056982,70.32245098,168.5670918,2043 
8,4,622.1299416,354.4101066,55.06131625,67.38026054,125.0432836,2909 
8,1,361.6096301,304.2089275,67.51831093,92.13025787,138.6833518,4839 
8,2,393.8970642,225.5222907,57.66165069,61.07807926,76.83463766,2759 
8,3,518.0934442,142.1335616,38.24368933,70.36939847,166.923365,2044 
9,4,642.247083,342.1914894,55.12270207,67.4157223,86.96296929,2914 
9,1,360.1298486,303.06285,67.44091149,91.96613999,139.7554381,4821 
9,2,393.2404649,222.6916092,57.65268291,61.00231558,101.8887004,2753 
9,3,516.1669941,140.3285855,38.24401458,70.29636709,166.5665467,2036 
10,4,647.3508651,322.849827,54.91401911,67.11062685,50.32138878,2890 
10,1,357.4031588,301.7502078,67.27693909,92.01685887,139.7251135,4812 
10,2,394.4085787,221.1075972,57.82876629,60.69594354,124.1117878,2751 
10,3,513.5470675,138.7708231,38.11872975,70.32170601,165.2181279,2029 
11,1,354.580083,300.4485477,67.31729288,92.07073646,140.1052321,4820 
11,4,638.5710827,305.1003113,55.02122964,67.01070219,18.04049923,2891 
11,2,396.9038462,219.3069666,57.9512708,60.66157159,150.6444103,2756 
11,3,510.9270217,136.4506903,37.92114177,70.30298595,164.338403,2028 
12,1,350.7213149,299.9251602,67.47951018,92.14713531,139.2086356,4837 
12,4,620.2468202,297.0309385,55.17354034,67.22818461,163.621889,2909 
12,2,399.5376035,219.3339331,57.98234215,61.16027669,175.6416862,2779 
12,3,508.1064657,134.389402,38.45386784,70.38569541,163.5253619,2057 
13,1,347.2741001,298.780513,67.50871926,92.04278935,139.6532679,4834 
13,4,598.6728031,299.3035776,54.82884118,66.95563223,133.2571312,2879 
13,2,403.7332609,221.5779949,57.70132182,61.129494,28.02389096,2763 
13,3,505.9255424,131.8752465,37.90921094,70.43016436,161.7173145,2028 
14,1,343.8179012,297.5201646,67.77060223,92.16462823,140.4087923,4860 
14,4,578.3800344,312.577969,54.98077003,67.38045033,105.0551367,2905 
14,2,406.001421,225.626643,57.7569409,62.17015485,46.09778961,2815 
14,3,503.0329617,130.2695104,38.44561979,70.76398092,160.4106917,2063 
15,4,565.1501028,335.607608,55.20225485,67.42557222,70.22384128,2918 
15,1,339.3461776,296.5021636,67.55735473,92.32906074,140.0573564,4853 
15,2,406.9125088,230.1198173,57.80857239,62.80432464,66.53188387,2846 
15,3,500.5960136,128.1293145,38.31495349,70.75587753,159.1061534,2057 
16,4,564.1663202,363.5803881,55.08414887,66.83746984,36.53220725,2886 
16,1,335.2249637,295.607091,67.31884229,92.1033215,140.2949199,4823 
16,2,406.6645045,236.5311712,57.37008017,61.75869751,98.27371403,2775 
16,3,497.6711243,126.658742,37.72318209,70.46494332,157.6651176,2019 
17,4,577.1813826,387.9431896,55.30668608,67.38359322,1.546619006,2922 
17,1,331.5732261,295.2413366,67.54815702,92.2141167,140.7290072,4848 
17,2,404.6010619,242.4686726,57.73381626,62.49286894,119.5147936,2825 
17,3,494.9878758,124.4747818,38.36604906,70.61227859,156.9921979,2062 
18,4,600.4370294,400.2535934,55.14081621,67.59394538,143.4742998,2922 
18,1,327.22427,294.6962104,67.23212102,92.36148993,140.7390178,4829 
18,2,400.3844778,245.8980687,57.71472227,61.77180207,146.8914116,2796 
18,3,491.3366045,122.6457311,38.20829341,70.23694073,156.4121578,2038 
19,4,624.5913869,396.0434045,55.50748704,67.77679851,106.670486,2949 
19,1,323.0155865,294.6402789,67.90487879,92.30010441,139.6340704,4876 
19,2,396.1141942,247.3283529,57.91406664,61.99048719,171.3518203,2811 
19,3,488.0327395,120.5584978,38.493166,71.039636,155.2911953,2077 
20,4,636.419698,379.6695264,54.96152554,67.61256077,69.54835565,2914 
20,1,318.6218279,293.7348876,67.50614364,92.30703588,139.1070048,4847 
20,2,391.5951868,246.9565374,57.7612833,61.54154091,17.48377468,2784 
20,3,484.3394762,119.0635306,38.47916314,70.55643009,154.1477177,2062 
21,4,635.4575923,361.9404925,55.06838461,67.70803503,37.33834298,2924 
21,1,312.9769926,292.5862777,67.7821204,92.26390582,137.6887832,4868 
21,2,387.2579041,246.0618117,57.82375946,62.14000766,44.17771344,2815 
21,3,481.6511853,117.6569908,38.27075505,71.05724505,153.0359934,2067 
22,4,620.9181849,346.9886559,55.03154191,67.42067508,4.637082881,2909 
22,1,309.2527766,292.3060469,67.60321567,92.43327951,137.4754846,4862 
22,2,384.2392857,242.7671429,57.98929324,61.58780876,72.25954057,2800 
22,3,478.0548278,115.8563804,38.34699491,70.69003705,152.3258266,2061 
23,4,599.3309303,341.9605218,54.96724175,67.58676688,152.7024376,2913 
23,1,304.6231497,290.6099918,67.59220378,92.46522747,137.0986186,4864 
23,2,382.0181948,239.1908669,57.7132667,62.07213773,97.16920311,2803 
23,3,474.036983,113.2953771,38.19143414,70.83764664,152.0870615,2055 
24,4,576.1230929,348.25,54.8366199,67.05132526,121.9808824,2884 
24,1,300.9101498,289.687604,67.1725087,91.99833818,137.666017,4808 
24,2,382.8083485,236.4958258,57.8443929,60.7610845,132.5026043,2755 
24,3,470.5410485,110.7744807,37.93647003,70.04621448,151.0984212,2022 
25,4,556.0252991,367.3586325,55.15629478,67.63132451,91.44277462,2925 
25,1,296.3467709,288.9078568,67.70999157,92.22324933,136.8727393,4862 
25,2,384.9340265,235.0441018,58.01573147,61.31149648,156.8094996,2789 
25,3,466.8413392,108.8452208,38.37134176,70.664326,149.8109134,2061 
26,4,546.3469666,394.7678937,55.33652208,67.64369989,55.79429559,2934 
26,1,292.6753808,288.5786332,67.64096049,92.29969295,137.1989472,4858 
26,2,388.4722917,236.751877,57.99380631,61.57411924,1.936376929,2797 
26,3,463.8830665,107.0315381,38.25015578,70.85638183,149.4643184,2061 
27,4,551.2702426,423.9842843,55.27504317,67.52999857,21.97352827,2927 
27,1,288.9993821,287.4562307,67.59188551,92.33986875,136.9730712,4855 
27,2,391.9245283,240.0566038,58.06469639,61.73979122,27.26261152,2809 
27,3,460.4849661,105.2909796,38.24391983,70.76778357,148.2180557,2062 
28,4,569.8491927,444.272415,55.17472869,67.32501545,162.8599892,2911 
28,1,284.268333,286.7612064,67.48692587,92.1906895,135.3172221,4841 
28,2,392.9472371,245.3786096,57.74330387,61.9944011,51.89347788,2805 
28,3,456.637561,104.0443902,38.21596149,70.53508479,147.2126899,2050 
29,4,594.2847411,449.4666213,55.25416684,67.75219205,127.0564423,2936 
29,1,279.732084,285.9116557,67.53308395,92.41575356,136.0000711,4856 
29,2,393.2293805,252.3872566,57.67384813,62.52262373,75.80336236,2825 
29,3,452.9941804,102.2967992,38.33901409,70.83591257,146.0999168,2062 
30,4,612.5468803,439.43164,55.293268,67.65463341,93.12490588,2933 
30,1,274.9706124,285.703247,67.65707063,92.44906259,135.6423335,4866 
30,2,391.1126461,258.3513992,57.61784457,62.58629705,101.1082512,2823 
30,3,449.3268671,100.9471387,38.25232059,70.95730992,145.0276043,2062 
31,4,618.6683796,421.6567318,54.94969353,67.74592091,57.67799209,2919 
31,1,269.7144031,285.2876515,67.74859171,92.3754627,135.8349722,4867 
31,2,387.2496479,264.4725352,57.87241159,62.67124206,126.7011112,2840 
31,3,445.494655,99.53692906,38.43686906,70.30597973,145.9200937,2058 
32,4,612.8123711,403.819244,55.03425481,67.41046564,25.65533523,2910 
32,1,264.961752,284.3596545,67.6741053,92.36291,136.4217269,4863 
32,2,381.2817052,268.0312611,57.66384052,62.26237135,148.2871289,2815 
32,3,442.1729469,97.9178744,38.50207157,70.65361611,144.7882104,2070 
33,4,593.5790014,390.874145,55.29420417,67.43044767,170.7852048,2924 
33,1,259.6222815,282.7595404,67.7630161,92.47790627,136.4952809,4874 
33,2,376.5051657,271.1189882,57.87882035,61.90753317,170.3901258,2807 
33,3,438.0957705,96.47010209,38.36338464,70.57823691,143.8348106,2057 
34,4,568.2735395,389.2793814,54.94110774,67.56203546,139.5145046,2910 
34,1,255.4512095,282.2542025,67.78129087,92.5363695,137.2322188,4878 
34,2,370.1974295,271.8671903,58.03333345,61.63846687,14.06146714,2801 
34,3,433.893152,95.25837785,38.358765,70.69932566,142.3077365,2059 
35,4,544.9745879,401.1799451,54.99348562,67.51362249,109.1188477,2912 
35,1,251.9495677,281.2822149,67.6330796,92.36666144,138.3161794,4858 
35,2,363.9417476,270.9453434,57.78797225,61.35903724,45.79300632,2781 
35,3,429.8089172,93.95737384,38.15431141,70.59678252,140.7206583,2041 
36,4,528.9634812,422.494198,55.23026725,67.65970718,74.40762038,2930 
36,1,246.8315508,280.8477993,67.71839663,92.30636195,138.3284996,4862 
36,2,359.2741533,269.7746881,58.0323785,61.65313299,69.99920647,2805 
36,3,425.5109596,93.1105699,38.34881913,70.62101232,139.7682486,2053 
37,4,525.0126756,450.8033573,55.24651668,67.39927737,40.98142387,2919 
37,1,242.6559689,280.1490188,67.90142237,92.55632649,138.1522208,4892 
37,2,357.3315508,267.7372549,58.09280069,61.66363992,95.86714543,2805 
37,3,420.8100341,92.16999513,38.13012092,70.82360136,139.4261468,2053 
38,4,535.4746167,477.3788756,55.4438377,67.55162986,1.675258441,2935 
38,1,238.4035268,279.7400041,67.80608785,92.44923802,136.4767486,4877 
38,2,357.5882768,264.3785311,58.05743033,62.33236965,120.9417821,2832 
38,3,417.0386847,92.09622824,38.49129615,70.72066479,137.3515148,2068 
39,4,557.2596913,488.5797599,55.11744335,67.46272587,142.3652806,2915 
39,1,233.2571605,278.6299196,67.46586812,92.47309482,136.5959579,4853 
39,2,359.6583541,263.8778055,58.14036257,61.56300523,148.3848064,2807 
39,3,412.9961014,91.53849903,38.35014636,70.43027476,136.3131781,2052 
40,4,578.0353261,484.9952446,55.26164805,67.94594664,108.8559175,2944 
40,1,228.4028035,277.560503,67.39089057,92.49886064,135.334186,4851 
40,2,362.229807,264.9374553,58.05046662,61.53609576,174.4104443,2798 
40,3,408.4678133,91.27616708,38.08660388,70.40910133,135.6408111,2035 
41,4,588.9116838,470.0391753,54.81666274,67.69577142,72.25287133,2910 
41,1,225.3600334,278.2968294,67.03688041,91.91480742,136.4018683,4794 
41,2,365.2408075,268.1348234,57.84647375,61.21465881,28.45014887,2774 
41,3,404.8305169,91.0750497,37.84270762,70.22485929,134.5950921,2012 
42,4,587.5933766,449.8187095,55.15941508,67.70274676,39.41935019,2929 
42,1,221.698416,277.8278132,67.54372413,92.49860224,136.0901261,4861 
42,2,367.3021532,273.3911048,57.90804774,62.42361895,44.09306555,2833 
42,3,400.7666016,90.65136719,38.3035334,70.42099662,132.8487088,2048 
43,4,573.4010292,432.993825,55.07335658,67.48568719,8.163177927,2915 
43,1,217.3995073,277.1788134,67.53931903,92.73635332,136.0840582,4871 
43,2,367.5171318,279.8866125,57.71010579,62.60944789,64.07096813,2831 
43,3,395.9946289,89.85351563,38.1927349,70.70655223,130.9314497,2048 
44,4,549.8164469,426.3546149,54.79677379,67.06772419,153.191245,2882 
44,1,213.3205418,276.698543,67.73640288,92.54238597,136.0110548,4873 
44,2,364.9547223,287.3374602,57.55367221,62.73629201,88.15693898,2827 
44,3,391.1795998,89.88628599,38.38538292,70.27122003,129.3679874,2049 
45,4,524.1330812,432.2420908,54.97518788,67.46587135,124.4064649,2908 
45,2,362.2008472,294.0889516,57.76490733,62.67679489,112.6573475,2833 
45,1,208.6572655,275.5579399,68.01332745,92.55416865,135.7372593,4893 
45,3,386.4162215,89.76056338,38.37540137,70.8242927,128.1492929,2059 
46,4,502.8968825,450.0198698,55.00348636,67.66312803,89.41589504,2919 
46,2,358.3643162,300.4066952,57.67707417,62.09650065,138.3372168,2808 
46,1,203.8181258,274.7531854,67.53551068,92.68705985,135.9681098,4866 
46,3,382.2703631,89.64720314,38.12633657,70.65568892,126.5002722,2038 
47,4,493.3394148,477.6182444,55.03794746,67.33669664,53.09630566,2905 
47,2,351.8853868,305.2901146,58.00364872,61.38415236,155.7074463,2792 
47,1,199.1145257,273.8320016,67.70323816,92.61458065,137.6675859,4881 
47,3,377.3781022,89.96058394,38.38323605,70.55834578,125.5099194,2055 
48,4,499.0497614,506.736878,55.3162769,67.65799499,17.11634571,2934 
48,2,344.6064057,308.5775801,57.96249594,61.95209155,3.593052495,2810 
48,1,194.7806332,271.844778,67.51224896,92.57564474,138.140645,4864 
48,3,372.2604674,90.35199611,38.43800436,70.48799929,123.2364119,2054 
49,4,519.1969956,524.7425743,55.17377239,67.75935614,157.2577898,2929 
49,2,337.65068,310.7508948,57.86980663,61.69393541,23.39947555,2794 
49,1,190.3599098,270.8081574,67.77469289,92.47915676,138.8559994,4879 
49,3,367.9601361,90.56635877,38.50627651,70.38683415,121.192758,2057 
50,4,541.8146758,526.8484642,55.23506443,67.62243157,120.6666347,2930 
50,2,331.1820778,310.5191003,58.07801636,61.52185194,55.66775496,2801 
50,1,185.3239754,269.4053279,67.70720613,92.62896192,139.6895664,4880 
50,3,362.5908649,91.02332362,38.46948175,70.53934214,119.745637,2058 
51,4,557.0897305,515.1982259,55.33365866,67.5783673,83.75940785,2931 
51,2,325.6940883,309.7467949,58.11652852,61.6753065,78.40536583,2808 
51,1,180.1756868,268.2656827,67.85426949,92.39127557,139.8117524,4878 
51,3,357.9863481,91.83666504,38.4317954,70.42874018,118.8755537,2051 
52,4,560.3538672,495.045859,54.90049003,67.87961134,47.86122861,2922 
52,2,323.0877631,308.5729575,57.86700707,61.89266213,107.4519666,2803 
52,1,175.397294,265.8587536,67.79096452,92.49639939,140.9527704,4878 
52,3,353.4161793,92.458577,38.42191869,70.58263734,117.2040957,2052 
53,4,548.6141249,476.8406687,55.01734575,67.93375452,14.53454806,2931 
53,2,322.956383,308.0446809,58.16021133,61.85202936,137.5407874,2820 
53,1,173.2493342,266.3030117,67.79930019,92.56409999,141.3905891,4881 
53,3,347.2375182,93.06980126,38.57258111,70.60756633,116.4908298,2063 
54,4,529.3202884,468.4987985,55.13691015,67.3623323,160.0900969,2913 
54,2,326.2160142,307.8480427,58.07681523,61.71884543,163.1457418,2810 
54,1,170.1742875,264.8718474,67.84807171,92.41407447,142.5922756,4877 
54,3,341.5896066,93.40650801,38.39445874,70.74950397,114.8941699,2059 
55,4,505.4767961,472.0797525,54.94695608,67.51806663,130.3574055,2909 
55,2,328.6019142,309.3846154,57.66944685,62.50802976,5.500485378,2821 
55,1,165.6493533,263.4771094,67.7921794,92.37024648,143.7705647,4871 
55,3,335.5569682,93.91051345,38.19128753,70.45188081,113.2889093,2045 
56,4,484.9681725,486.7491444,55.03164072,67.70822504,97.95668273,2922 
56,2,332.672927,314.3026223,58.00650145,62.09770991,37.77147073,2822 
56,1,162.0419309,261.4121497,67.97117158,92.47432002,144.900409,4889 
56,3,330.0273304,94.50463641,38.25559633,70.75924601,111.3424555,2049 
57,4,471.3799862,511.3916781,55.06572062,67.36753937,63.03365879,2908 
57,2,332.2750969,321.29764,58.02560117,62.40721568,55.89431003,2839 
57,1,157.698647,259.9405494,67.74485512,92.48564257,145.8342855,4878 
57,3,323.5217812,95.65827686,38.54382511,70.84459343,110.0443361,2066 
58,4,471.4159505,539.3853558,55.05325127,67.37979336,29.16132681,2909 
58,2,331.0569192,329.4169335,57.78177914,62.08906363,85.09371339,2811 
58,1,154.1152501,258.3854703,67.58988544,92.39432913,147.343245,4859 
58,3,318.8517971,97.3835549,38.23924614,70.12985177,109.0471092,2031 
59,4,485.4386085,560.8045703,55.28573934,67.66061547,171.1846462,2932 
59,2,326.6187787,335.9608189,57.88184766,62.53679334,102.9924826,2833 
