frame,track,x,y,width,height,angle,n
1,4,429.2083868,438.8053059,51.83764553,58.86534173,71.58158081,2337
1,3,315.5228941,350.3547711,57.26862061,63.82053711,145.8585832,2861
1,2,468.2925682,228.9412041,37.91637235,72.60028624,25.44190919,2126
1,1,393.7753358,234.95116,42.73061896,49.12741008,75.58697964,1638
2,4,422.7930887,440.628413,51.67864282,59.22174819,77.89602825,2344
2,3,304.9905296,358.9228341,57.16270304,63.80568605,114.1394199,2851
2,2,465.2879925,230.2772045,37.66329655,73.17552129,23.68088621,2132
2,1,391.4052941,234.5082353,43.51038263,50.14755532,81.15559436,1700
3,4,416.1215352,442.2869936,51.44345103,58.88058915,80.29597333,2345
3,3,298.4832285,373.7166317,57.40846008,63.67606477,82.33787122,2862
3,2,463.4660149,231.5907821,38.16610338,72.91771643,21.57510668,2148
3,1,389.7738452,234.5794841,43.11901889,49.50600558,83.23362871,1667
4,4,411.0539049,444.0021222,51.86986867,58.90105548,87.68374566,2356
4,3,297.2168172,388.6278666,57.27701508,64.12215024,54.38858195,2878
4,2,461.6607477,232.7672897,37.65199842,73.67278255,19.97144404,2140
4,1,387.7308832,234.5228216,43.28467477,49.96272575,86.54057499,1687
5,4,405.131309,445.5387772,52.36408724,59.70778533,92.62565555,2437
5,3,302.1998631,405.2176591,57.72415669,64.71765902,24.29914407,2922
5,2,458.917094,233.857265,40.13702696,75.14445491,18.88231047,2340
5,1,385.1404304,234.2893545,44.32037874,51.08517926,87.85309043,1766
6,4,401.0682203,446.7987288,51.88512788,59.36315154,99.13905489,2360
6,3,312.372695,411.3875887,56.76962,63.49794072,175.8286798,2820
6,2,457.8296678,234.9494619,37.27813323,74.16846759,18.21822385,2137
6,1,384.234976,233.4897837,43.44109859,49.07760043,96.76428139,1664
7,4,396.908778,447.894148,51.53665002,58.97873253,104.0045211,2324
7,3,324.9438559,412.1723164,56.82573882,63.70765903,149.5708256,2832
7,2,456.698733,235.8972313,37.79971607,72.99311496,15.65222662,2131
7,1,382.5648259,233.2046819,43.03136046,49.59772386,101.8195725,1666
8,4,393.4772727,448.2760331,51.93367082,59.74812435,114.5218881,2420
8,3,335.5536392,405.3321835,57.78107915,64.19817998,117.7792346,2899
8,2,454.5896347,236.9507222,40.14736792,75.59342823,14.51073084,2354
8,1,379.972332,232.7346132,44.18987754,51.3328545,100.1573003,1771
9,4,388.874254,447.0328218,51.52980584,59.40287995,121.0589698,2346
9,3,340.3269436,394.9357472,57.19825887,63.05541821,90.83139071,2817
9,2,454.6449788,238.902876,37.27277678,73.5462802,14.46090656,2121
9,1,378.8707524,232.0825243,42.96562101,49.10456985,114.0437554,1648
10,4,384.0017197,443.7747206,51.53525154,59.06273267,127.0880811,2326
10,3,341.4532909,381.5881104,57.07733331,63.329739,62.6554017,2826
10,2,454.5255198,240.0415879,37.58702606,73.02573327,13.88987962,2116
10,1,377.7389976,231.5165037,42.67723187,49.07471133,121.4705172,1636
11,4,378.3581472,440.4487179,51.86358925,59.88824117,134.2258743,2418
11,3,332.734589,371.2938356,57.59137542,64.81447941,29.2863081,2920
11,2,453.6488352,242.0362381,39.5175754,75.69361482,12.67555193,2318
11,1,375.3265074,231.1012514,43.80055907,51.40347313,112.9338247,1758
12,4,373.9339116,438.1040892,51.77177523,60.01502073,138.982388,2421
12,3,319.9083333,364.6142361,57.52247937,64.08708496,4.582869352,2880
12,2,453.1933363,243.1718544,39.39656936,74.70549336,12.60802066,2281
12,1,374.1343284,230.6320321,43.96601944,50.6886801,119.6169395,1742
13,4,369.4924051,436.3493671,51.47964362,59.60132355,142.2653499,2370
13,3,305.4397064,363.3138763,57.08148498,64.0035366,159.021152,2861
13,2,453.0623318,243.9596413,38.8089819,74.49454664,10.01658086,2230
13,1,373.2946746,230.2343195,42.83139782,50.40638393,125.9251531,1690
14,4,365.6144628,436.2305785,51.81763339,59.92668951,146.7522699,2420
14,3,292.6045953,371.1080247,57.96271558,64.26313564,132.6978444,2916
14,2,452.3268893,245.8673111,39.06272015,75.11734236,11.85388004,2276
14,1,371.6626781,230.3145299,43.57234733,51.51352917,124.3648999,1755
15,4,363.2105719,434.7465338,51.36255395,59.17671656,148.2456892,2308
15,3,282.1226714,381.4397188,57.0977256,63.81906012,105.62037,2845
15,2,453.0330969,247.2548463,37.34842873,73.72887778,10.29602212,2115
15,1,371.472273,230.1206581,42.48883101,49.52925887,133.7057208,1641
16,4,360.5858936,434.3517958,51.33856039,59.66328792,156.3205273,2311
16,3,278.7935124,396.1325427,57.38957646,63.78040395,74.77592713,2867
16,2,451.925,249.2009434,37.54578441,73.46456405,9.331931486,2120
16,1,370.0177153,229.8668296,42.16876788,49.72927147,134.4206384,1637
17,4,358.8034754,432.363674,51.7335048,59.80379038,160.3896682,2417
17,3,281.3809362,411.3337856,57.96993324,64.92229836,40.48854434,2948
17,2,450.7190372,251.5509847,39.19607953,75.50707014,8.143809599,2285
17,1,368.0833333,229.6402299,43.29392392,51.38331337,133.2963715,1740
18,4,358.1043729,431.9187294,51.38114401,60.40196795,166.6245662,2424
18,3,288.9676531,420.4184446,57.74393258,64.35366315,12.45454048,2906
18,2,449.8795857,253.370738,39.99971915,74.80145236,7.409771302,2317
18,1,366.5432448,228.9920859,43.52174338,52.09008502,135.7784526,1769
19,4,359.5163561,431.8832298,51.46793408,60.11029476,171.7436163,2415
19,3,300.0220842,426.4568668,57.52724961,64.37122482,165.1691683,2898
19,2,449.5186147,256.1549784,39.67905506,75.2787494,6.464134948,2310
19,1,365.5930836,228.7579251,43.11289251,51.5721644,141.8965462,1735
20,4,365.1608421,429.4122105,50.31700188,60.41706784,0.936990348,2375
20,3,310.8128557,426.7686642,58.36845357,65.30738221,133.9892729,2987
20,2,449.0153061,258.957483,39.96961003,76.12755352,5.467758666,2352
20,1,363.9631491,228.0508096,43.66808366,52.63344406,139.8323362,1791
21,4,371.6052088,426.6696982,51.85683259,60.40656287,18.45446009,2419
21,3,316.2865538,422.3359834,57.86824976,63.85750837,126.0847019,2893
21,2,448.0537634,261.3677419,39.71777653,75.70592267,4.005725666,2325
21,1,363.2007964,227.6131968,43.15992846,52.26380998,147.6968214,1758
22,4,379.254902,423.1788715,52.32454587,61.03917804,43.63404618,2499
22,3,322.251235,415.6047989,58.20312835,62.15718052,116.9411613,2834
22,2,447.2729592,262.3363095,40.09011045,75.67801678,6.627757413,2352
22,1,362.1271612,228.0591188,43.44940741,52.98567612,149.7964791,1793
23,4,384.9131134,420.5474658,52.93261947,60.02701411,59.92675771,2486
23,3,328.3894628,405.9438705,58.08708313,63.95700793,85.78916895,2904
23,2,446.4414916,265.1795971,39.92043866,75.38866505,4.872523079,2333
23,1,361.3243707,227.4856979,42.78241382,52.47953795,155.9762761,1748
24,4,385.5525883,420.0903862,52.08580261,59.74667314,61.17318923,2434
24,3,329.7680165,394.3369938,57.70793431,64.50923611,57.85986389,2914
24,2,445.8083475,267.5706985,39.80874859,76.17539808,3.581667158,2348
24,1,360.7030717,227.0238908,43.34477655,52.14019644,157.0576476,1758
25,4,387.2203042,420.2063296,52.03640364,59.81131766,67.60176628,2433
25,3,324.0475051,385.5628845,57.84971177,64.64155692,32.43226856,2926
25,2,445.1485522,270.1519094,40.08981874,76.63528591,2.223127232,2383
25,1,359.7678873,226.388169,43.72240868,52.13342431,163.4343344,1775
26,4,388.5382087,420.5012325,52.12678346,59.72465754,73.60297347,2434
26,3,314.5990991,379.4677755,57.52122429,64.23961026,4.726822097,2886
26,2,445.029909,272.6120503,39.63530582,75.29475863,1.415322221,2307
26,1,359.236,225.4697143,43.53500841,51.65010388,163.6670436,1750
27,4,390.3551054,420.7498967,51.93916698,59.66812448,79.04646851,2419
27,3,301.3938768,377.9914001,57.72208143,64.3696478,162.5103956,2907
27,2,443.912834,275.6215506,38.92387594,75.7828186,179.7015207,2283
27,1,358.5326149,224.9619966,43.35852997,52.25575243,168.5930551,1763
28,4,391.4829288,420.3266146,52.13440839,59.74271509,87.03911343,2431
28,3,287.9784689,383.7881066,57.8460324,64.55342682,134.2483032,2926
28,2,442.3024055,277.0957904,39.64232923,75.8856718,177.6231972,2328
28,1,358.276,223.9771429,43.16212332,52.11613891,170.854094,1750
29,4,392.6640398,421.5711323,52.06217635,59.39568161,97.73742393,2411
29,3,278.0536082,394.8195876,57.82893995,64.36169436,107.768363,2910
29,2,441.6358234,279.061545,39.97344895,76.07949913,174.7928395,2356
29,1,357.7404922,223.3993289,43.77726807,52.43914291,171.9278638,1788
30,4,393.5749793,422.3396852,51.77791886,59.78800554,106.8851155,2414
30,3,273.6152792,410.0311751,58.10265599,64.16734571,76.11008104,2919
30,2,440.8447607,280.7623976,39.62462352,75.65502434,174.620064,2319
30,1,356.8506964,223.1348189,43.54983536,52.9029701,175.6266898,1795
31,4,396.8769483,425.9577523,51.97740689,60.17637125,112.9106361,2438
31,3,274.6930091,422.6139818,58.28104145,64.85871366,47.24453429,2961
31,2,439.6890685,283.4738409,39.82562993,76.2126512,172.5901108,2351
31,1,356.4765625,222.7684152,43.63761083,52.73763456,179.4214531,1792
32,3,281.5292909,431.8629668,57.93641984,64.45145142,21.27176653,2919
32,4,399.2389163,429.4433498,51.81513887,60.29876471,117.8270969,2436
32,2,438.8329016,285.4671848,39.60517132,75.43203784,171.0122436,2316
32,1,355.923339,222.3384441,43.41819301,52.09869406,2.038671618,1761
33,3,293.1898387,439.3714384,57.54561287,64.70392993,172.0542693,2913
33,4,401.8601712,433.3477375,51.78861733,60.75121303,123.2340995,2453
33,2,437.863108,287.4476969,39.53298402,75.9064421,168.9390304,2323
33,1,355.2536151,222.0022247,43.76488732,52.72171025,4.797043891,1798
34,3,305.5736984,441.9408384,58.10584807,65.0162946,146.9367846,2958
34,4,405.3330629,437.8458418,52.20861548,60.52174658,126.9867817,2465
34,2,436.3336196,289.6397596,39.50144533,76.0197495,167.0282905,2329
34,1,354.5841199,221.6640755,44.10305943,52.4500425,5.077088188,1801
35,4,408.5766096,441.190709,51.76969975,60.7657321,133.9908776,2454
35,3,319.8147383,438.0137741,57.6673768,64.41697612,121.0709265,2904
35,2,435.6933619,291.8372591,40.13088821,75.22275776,164.9142927,2335
35,1,354.8797327,220.7744989,43.81077719,52.55696395,8.358300257,1796
36,4,411.793514,445.7352217,51.42591201,60.74216887,139.3819903,2436
36,3,328.9893067,430.2100724,57.92776189,64.06319411,93.76150353,2899
36,2,434.9670282,294.2577007,39.57272948,75.16016911,163.8183318,2305
36,1,354.874228,220.4985963,43.89080469,52.13762886,13.03019325,1781
37,4,412.9199673,450.556962,51.65149481,60.70976449,145.4285314,2449
37,3,331.4820021,418.4470346,58.091881,64.15782137,65.79358791,2917
37,2,434.4548626,297.2158744,39.19509523,75.4294051,162.2665212,2293
37,1,354.8552189,219.9938272,43.53622188,52.53810437,14.20737224,1782
38,4,413.2472415,455.404577,51.90394082,60.41871854,150.1787935,2447
38,3,325.8336756,408.3627652,57.83449347,64.59940499,37.11275413,2922
38,2,432.7924945,299.2203091,38.90003131,75.17481156,161.3998644,2265
38,1,354.4347089,219.3550028,43.3432841,52.4057399,12.5722256,1769
39,4,413.789689,460.1591653,51.53743727,60.78076691,155.4551774,2444
39,3,315.4104607,400.8832698,57.67034488,64.060278,6.936653955,2887
