frame,track,x,y,width,height,angle,n,ignore,track_fixed
1,1,464.605527638191,305.066834170854,45.3299644220536,58.0916617225429,20.1453305587442,1990,FALSE,1
2,1,467.821268097853,291.855217174239,45.4213162335941,57.9853615157013,3.93561125229824,2003,FALSE,1
3,1,468.618347693867,274.661936137861,45.142212612247,57.67986012578,169.812477386351,1973,FALSE,1
4,1,462.681047765794,258.466358500257,44.5824570008074,57.9589818734305,156.787569770155,1947,FALSE,1
5,1,455.514098690836,241.223564954683,45.2400500149717,57.9252500282078,144.038250900962,1986,FALSE,1
6,1,445.124616956078,228.32226762002,45.3934649783036,57.0055207434932,135.096087156215,1958,FALSE,1
7,1,436.665824064712,217.234580384227,45.4561856812279,57.5423369135933,121.243279954785,1978,FALSE,1
8,1,423.737603305785,209.155991735537,44.5983159625137,57.4448646033851,113.530665560542,1936,FALSE,1
9,1,405.890569843671,204.285426122037,45.3161952604034,57.7284521416887,98.3383070844175,1983,FALSE,1
10,1,388.230460921844,204.311623246493,45.448938523685,57.997844490639,83.35297319846,1996,FALSE,1
11,1,374.221584984359,205.382168925965,44.4844487606058,57.19105153594,73.4582461731396,1918,FALSE,1
12,1,357.332645693657,212.598246518824,45.0596836675995,57.1174442979569,58.0279358648854,1939,FALSE,1
13,1,340.168686868687,222.796464646465,45.5773991366251,57.514923419298,46.5365773916123,1980,FALSE,1
14,1,328.676425269646,235.237288135593,45.1911451264324,57.158569997908,26.7725607526613,1947,FALSE,1
15,1,319.228976697062,248.107902735562,45.0386989680916,57.8909470406703,13.0697594834188,1974,FALSE,1
16,1,316.452392947103,251.010579345088,45.0316461151732,58.2612542919585,9.58010004032813,1985,FALSE,1
17,1,314.965641025641,252.702051282051,44.5335239142101,57.8466126884259,173.28098574156,1950,FALSE,1
18,1,310.382056451613,254.621975806452,45.2625598872903,57.9457592904255,148.230358838221,1984,FALSE,1
19,1,316.147977470558,263.500256016385,45.1129220775991,57.417781254903,131.459803818455,1953,FALSE,1
20,1,330.248715313464,273.552415210689,44.9053239652493,57.4652963984003,114.315340815011,1946,FALSE,1
21,1,344.954639175258,278.587628865979,44.8626371103741,57.2450364163453,100.653741366999,1940,FALSE,1
22,1,358.7959697733,284.311335012594,45.4430409349884,57.5983640713218,91.5235901672903,1985,FALSE,1
23,1,374.524937027708,283.88161209068,45.2174017645626,57.8490238090899,81.2741114159129,1985,FALSE,1
24,1,392.443772062532,279.938477054967,45.3805506949279,57.635772471911,68.3112324189539,1983,FALSE,1
25,1,405.133164556962,278.04,45.058792293888,57.8158618971655,63.8206688186158,1975,FALSE,1
26,1,419.591826437941,268.809283551968,45.3854318470589,57.5321845348773,45.4534182102497,1982,FALSE,1
27,1,430.453445554971,258.48237769595,44.2090023255743,56.7880506805381,36.3495446571619,1901,FALSE,1
28,1,438.639142091153,242.939410187668,43.2873431433763,56.8115967428837,21.9812833313385,1865,FALSE,1
29,1,443.941206284845,227.193613786113,45.0843439859419,57.7603606031813,11.2275833990149,1973,FALSE,1
30,1,445.806740389679,209.652975250132,44.1929530826846,56.6006802571798,177.086963298693,1899,FALSE,1
31,1,438.278557114228,191.942885771543,45.2205286969737,58.179861284599,152.277679733273,1996,FALSE,1
32,1,427.508088978766,178.663296258847,45.0983727167886,57.9594911081776,140.461518039309,1978,FALSE,1
33,1,415.542089249493,165.245943204868,45.2889339100263,57.6769126375731,132.370094587751,1972,FALSE,1
34,1,403.3045,154.7935,45.6543487543534,57.8696003080709,123.64466782161,2000,FALSE,1
35,1,391.361445783133,145.312751004016,45.5814956268455,57.8642406852423,111.521978252351,1992,FALSE,1
36,1,376.298227848101,140.68,45.2223821720821,57.6062960621791,100.242718216346,1975,FALSE,1
37,1,356.038693467337,141.392964824121,45.4226596277957,57.8720809026264,83.2096569504869,1990,FALSE,1
38,1,341.809834420472,147.183642749624,45.6771418030993,57.7443440140484,68.1327440496581,1993,FALSE,1
39,1,326.780203045685,153.908629441624,45.3761763154309,57.6734253646483,47.5673908315406,1970,FALSE,1
40,1,312.665445026178,167.374345549738,44.7004361955874,56.9028133274902,41.8220907613147,1910,FALSE,1
41,1,304.239472349061,179.35565702689,45.1031798296507,57.9141380686317,24.2923016303814,1971,FALSE,1
42,1,298.502018163471,191.933400605449,45.3098164655548,57.8257844360099,14.4661992454934,1982,FALSE,1
43,1,295.676661669165,209.311844077961,45.3499759567832,58.2557823536269,174.497231415534,2001,FALSE,1
44,1,299.680786686838,227.563287947554,45.0481928970409,58.2369623942344,158.18923910712,1983,FALSE,1
45,1,304.903423607563,241.631067961165,44.8579151647981,57.7478305086516,147.456788291459,1957,FALSE,1
46,1,311.330874604847,253.569020021075,44.4561372259208,56.8006419892666,141.003300731337,1898,FALSE,1
47,1,321.500509164969,264.609979633401,45.3622718659812,57.3182906319935,126.99192596124,1964,FALSE,1
48,1,330.831300813008,273.445630081301,45.3512848227429,57.6680487386361,114.205743668804,1968,FALSE,1
49,1,344.001515151515,279.1,45.4521508512368,57.5720411837502,105.75591835432,1980,FALSE,1
50,1,359.296257248287,282.882445967317,44.6571106933435,56.2866471834239,96.2747122736163,1897,FALSE,1
51,1,372.020953378732,283.82346778418,44.5011039848119,56.6399392433065,83.3384932712488,1909,FALSE,1
52,1,390.662427133015,282.803391626921,44.0004953747414,56.8202389061444,72.0282904165788,1887,FALSE,1
53,1,397.626849894292,280.678646934461,44.0675462731201,56.702461239311,60.827151357797,1892,FALSE,1
54,1,410.931841831426,275.32726326743,44.6483732127465,56.7632519050008,49.0633541778076,1922,FALSE,1
55,1,421.135860979463,266.597156398104,44.0862767882072,56.7311608545276,35.6109562024575,1899,FALSE,1
56,1,429.501772151899,250.075949367089,45.1503318137757,57.7144104071017,20.42227727543,1975,FALSE,1
57,1,433.315457413249,230.302839116719,44.2155756093388,56.9235567109138,6.09074083989883,1902,FALSE,1
58,1,432.698795180723,212.877946568884,43.8562114771247,57.4553542627216,172.622937501048,1909,FALSE,1
59,1,426.207202505219,194.480167014614,43.9891700405258,57.5642764293307,157.627707249312,1916,FALSE,1
60,1,419.1234375,179.109895833333,44.2804633080881,57.5100299656646,145.25596238131,1920,FALSE,1
61,1,407.634605331939,167.007841087297,44.2662901139129,57.0590048208975,135.777069756169,1913,FALSE,1
62,1,399.347324239244,156.09129066107,44.3928974857441,56.6657365079079,125.736738935626,1906,FALSE,1
