bot_id,straightness,curvature,treatment
Run4group0subject0,0.9045144637207809,22.478271728610142,ctrl
Run4group0subject2,0.9089530532186929,35.46175481553292,ctrl
Run4group0subject3,0.9045086716402669,27.62130939456466,ctrl
Run4group0subject4,0.9051651036431915,23.808542948677104,ctrl
Run4group0subject5,0.8965656591481261,37.725718523486925,ctrl
Run4group3subject1,0.8865768156513112,31.82390257053076,ctrl
Run4group3subject2,0.8942021289125183,26.600361573056997,ctrl
Run4group5subject3,0.8700171631419077,35.61534606537944,ctrl
Run5group7subject1,0.8806730141015826,34.08437764566237,ctrl
Run6group5subject1,0.8864596877281282,33.38929586010908,ctrl
Run6group5subject2,0.879977469743159,35.532570440770975,ctrl
Run6group5subject3,0.8877185801197456,35.23599271363028,ctrl
Run6group5subject4,0.8999362336817351,27.954081547343552,ctrl
Run6group5subject5,0.9371121701836763,23.18041373952632,ctrl
Run8bot1,0.8993640950437536,23.353569044478665,ctrl
Run8bot10,0.9292484838414202,23.846373999940482,ctrl
Run8bot12,0.8975885669920473,26.341925843863855,ctrl
Run8bot13,0.9267515436294252,20.559917219783458,ctrl
Run8bot2,0.9029236341531957,19.76527821533903,ctrl
Run8bot4,0.8889633851257192,50.32988897217656,ctrl
Run8bot5,0.9171566825892465,27.389638464493995,ctrl
Run8bot6,0.9275136939620496,28.547416239370754,ctrl
Run8bot7,0.9119625402833701,24.35562154833071,ctrl
Run8bot9,0.9068402943471356,29.464147039692516,ctrl
Run4group0subject0,0.9361716949407893,25.309717850911074,ctrl2
Run4group0subject2,0.9439593216246205,30.356448716379088,ctrl2
Run4group0subject3,0.917884322864446,26.9563939704129,ctrl2
Run4group0subject4,0.9227460841050964,24.35485347312316,ctrl2
Run4group0subject5,0.90098732463451,29.19104546699428,ctrl2
Run4group3subject1,0.9131163746282883,28.546417267935386,ctrl2
Run4group3subject2,0.9237824270960945,27.375375264660487,ctrl2
Run4group5subject3,0.8497338496617117,32.010477778060306,ctrl2
Run5group7subject1,0.8650264604867111,44.2689053188047,ctrl2
Run6group5subject1,0.858352417254974,40.60458756476962,ctrl2
Run6group5subject2,0.9107243952858505,33.212412253170754,ctrl2
Run6group5subject3,0.9108213777267109,29.991455802893793,ctrl2
Run6group5subject4,0.9728153500168334,17.292061794739453,ctrl2
Run6group5subject5,0.9292341412030963,16.20617546705193,ctrl2
Run8bot1,0.9748797450074025,14.723265700093089,ctrl2
Run8bot10,0.931741495299151,19.542622404664794,ctrl2
Run8bot12,0.9074249934667926,23.759231850379287,ctrl2
Run8bot13,0.906007565672789,20.421190679697773,ctrl2
Run8bot2,0.9300548974947644,21.67942913615068,ctrl2
Run8bot4,0.9174958340555931,28.516707781284182,ctrl2
Run8bot5,0.8917515455182268,16.058961996103584,ctrl2
Run8bot6,0.941386745507633,27.61531332606539,ctrl2
Run8bot7,0.9323946572164006,15.56352224168792,ctrl2
Run8bot9,0.9379166144587748,23.950391810636017,ctrl2
Run4group0subject0,0.9687768685112503,16.733357510568563,ctrl3
Run4group0subject2,0.9828594590046866,2.1186913106663785,ctrl3
Run4group0subject3,0.9664176165821303,1.9415027068198543,ctrl3
Run4group0subject4,0.9757443948986207,2.2218432877753767,ctrl3
Run4group0subject5,0.98522261776909,1.6759750287862856,ctrl3
Run4group3subject1,0.9892433522555099,2.363236811663262,ctrl3
Run4group3subject2,0.9821307128769354,15.845150037938836,ctrl3
Run4group5subject3,0.9933614172073103,6.767059760539645,ctrl3
Run5group7subject1,0.9857545529506102,4.497493237390069,ctrl3
Run6group5subject1,0.9904348128670428,13.775297579175081,ctrl3
Run6group5subject2,0.9888354773209383,8.00609755154779,ctrl3
Run6group5subject3,0.9891671605758907,6.675216673761446,ctrl3
Run6group5subject4,0.9815728483039234,3.008311420025139,ctrl3
Run6group5subject5,0.9681998713653496,6.313292367314733,ctrl3
Run8bot1,0.9666209895115739,2.887035046355333,ctrl3
Run8bot10,0.9672290043793182,3.688269005792451,ctrl3
Run8bot12,0.9625325682817635,1.4664696999078028,ctrl3
Run8bot13,0.9575053897879584,13.839375860255268,ctrl3
