frame,track,x,y,width,height,angle,n
1,1,412.9610092,447.2033639,37.50999294,45.4378228,122.5189374,1308
1,3,322.5895364,411.4615057,52.7983714,56.83896069,1.051777727,2351
1,4,527.5093008,388.1802437,43.96290571,45.33310793,107.2067956,1559
1,2,410.2747804,258.378921,51.66284298,59.77473987,48.75885011,2391
2,1,412.8178493,446.8668617,38.14981128,46.1819795,126.3022715,1367
2,3,324.1319385,423.7480786,52.43100653,57.00735976,174.5892621,2342
2,4,530.9235629,393.9412508,44.2036673,45.81342637,118.6476392,1583
2,2,411.5124106,261.1724863,51.67262298,59.4227954,42.42737732,2377
3,1,412.9837518,447.0192024,38.28453044,45.54321203,125.0942815,1354
3,3,328.2458244,436.4436831,52.50677507,56.77561274,162.8453314,2335
3,4,534.5544994,400.3555133,43.82872935,46.11386525,101.8101438,1578
3,2,413.1687657,263.7439127,51.43569105,59.81183649,44.4304905,2382
4,3,331.7491497,446.5119048,52.63911889,57.08120304,154.9700456,2352
4,1,412.5994236,446.9877522,38.20605263,46.57105545,124.3513081,1388
4,4,538.1529709,406.5499368,44.27128784,45.70767154,99.04454449,1582
4,2,414.9155629,266.3650662,51.67041386,60.3266058,40.95815195,2416
5,3,335.2944444,455.5354701,52.57942412,56.83636985,151.6200962,2340
5,1,413.0882135,447.1697554,37.9339561,46.20054311,123.9528108,1349
5,4,542.2391304,412.6323529,44.24505629,45.17341678,82.96386443,1564
5,2,415.9899371,268.6289308,51.66815992,59.50714694,36.27064947,2385
6,3,341.2055838,464.3460237,52.91005778,56.99815794,145.6499638,2364
6,1,412.6163295,447.1546243,37.76653531,47.03709807,122.5192951,1384
6,4,546.3064313,419.017024,44.07613,46.03687959,71.99211602,1586
6,2,417.1521467,271.1258858,51.78994577,59.74414332,35.95213152,2399
7,3,346.2426814,471.7165889,52.77678268,56.98552654,138.94576,2357
7,1,413.0305514,447.2608048,37.83978294,45.81777115,122.005059,1342
7,4,550.5644753,423.6460177,44.18989722,45.80404944,76.56010608,1582
7,2,417.5666105,273.2019393,51.27954075,59.6524977,29.61258282,2372
8,3,347.8854701,474.1876068,52.40319469,56.99420154,118.19987,2340
8,1,413.1807494,447.3519471,38.48220329,45.77741894,119.9636127,1361
8,4,553.5717916,427.6899619,43.93052097,45.89198899,64.19766163,1574
8,2,418.5219917,275.5705394,51.80705825,60.03853081,29.57440305,2410
9,3,349.8556833,475.5670498,52.90476295,56.64069501,104.3189568,2349
9,1,412.9166667,447.2566964,37.56783437,46.00159979,121.4922086,1344
9,4,558.6753827,433.3182398,44.03040118,45.61839248,42.54022986,1568
9,2,419.6024555,277.4487722,51.23115637,59.4973469,26.04962331,2362
10,3,351.5516652,475.8838599,52.71726745,56.71276242,85.22140832,2342
10,1,412.6129032,447.2316716,37.78244102,46.77254305,120.901056,1364
10,4,563.0123762,437.8991337,44.87317182,46.16013397,51.85183332,1616
10,2,420.2996191,280.0541684,51.34668175,59.3538656,24.94345411,2363
11,3,353.8032437,476.3081519,53.15341608,56.38499715,69.47932415,2343
11,1,413.0404798,447.1821589,37.97735618,46.14357222,122.5000778,1334
11,4,567.3540215,442.8435719,44.40520538,45.55691602,42.88203015,1579
11,2,420.532392,282.9082226,51.72546505,59.98636991,21.68886905,2408
12,3,355.8636749,476.3467401,53.17641068,56.77970476,52.97001926,2362
