frame,track,x,y,width,height,angle,n
1,3,329.1636964,356.3755776,39.56319071,51.32133555,53.04931735,1515 
1,4,481.9196371,310.4361633,42.94711111,46.15968007,149.5660067,1543 
1,2,475.2825853,264.7231598,54.07331595,66.24763847,88.3316461,2785 
1,1,532.2066215,184.6453929,51.17893257,62.94887714,48.49709027,2507 
2,3,324.9296515,358.1663379,39.70469547,51.27691156,52.5776755,1521 
2,4,483.0374919,311.8371041,42.57832751,46.69909795,134.5901468,1547 
2,2,477.5917496,266.5917496,53.97808931,67.03394862,89.96065596,2812 
2,1,530.1037475,175.5230769,51.00332733,63.88275273,43.79442527,2535 
3,3,321.0259366,360.7255043,37.49476411,49.8205841,58.11854989,1388 
3,4,484.6948925,313.3084677,41.59416853,45.9890044,155.1068131,1488 
3,2,480.2055896,268.0447933,52.01676714,65.7646106,96.52070338,2612 
3,1,526.3639358,167.6290655,49.81565458,62.63968354,39.31992719,2429 
4,3,317.8616188,362.6964752,39.99006274,51.1213816,53.84521066,1532 
4,4,484.7249675,315.9473342,42.46687413,46.52078889,130.1808139,1538 
4,2,481.1431114,270.2961908,54.08291729,66.94277541,94.40232282,2809 
4,1,523.3126492,159.7279236,50.92950357,63.38613117,31.35265767,2514 
5,3,312.6489738,364.4118896,38.14842644,49.86978368,61.21552918,1413 
5,4,485.1230876,318.3233658,41.2676499,45.17646097,128.7464268,1438 
5,2,483.6900994,272.5355171,54.50304199,64.88661726,99.60755276,2717 
5,1,518.2573075,152.7612186,50.0712674,62.33263088,30.40069426,2429 
6,3,306.7985564,370.1896325,39.41141022,51.61958661,50.67191019,1524 
6,4,485.2947086,320.0609511,42.04437099,45.77852938,121.876825,1493 
6,2,484.3298356,274.8314096,55.12294518,66.57767064,92.51010979,2859 
6,1,512.352825,143.8518372,51.22843091,63.35858269,24.04115467,2531 
7,3,299.1176471,372.5782086,39.15521344,51.16863382,54.0542305,1496 
7,4,485.5839616,321.0445511,41.3319001,45.49297047,125.490213,1459 
7,2,486.4188904,275.9599719,54.91724679,66.59350904,94.72350042,2848 
7,1,506.2576122,136.8461538,51.0226748,62.71605716,23.44377035,2496 
8,3,295.6813403,374.1727989,39.72112865,51.03365895,55.87236379,1522 
8,4,485.9513333,321.8486667,42.45876381,45.48061549,134.0674862,1500 
8,2,488.8144074,277.0251952,54.21586496,66.82848247,96.77890742,2818 
8,1,499.3021956,129.6171657,51.09578424,62.86234298,16.08026677,2505 
9,3,290.4836648,376.6683239,37.79240384,49.88968993,58.837449,1408 
9,4,486.603272,322.4628494,42.11548445,44.9217967,153.1586904,1467 
9,2,491.9977794,278.1472983,53.75098657,65.19285388,104.0053278,2702 
9,1,492.7669544,124.0287711,49.84484268,62.68072528,11.7944795,2433 
10,3,286.126933,379.4600515,40.43679385,51.19091924,54.62695455,1552 
10,4,486.3626595,324.1558093,42.00742524,45.64019249,128.7352446,1489 
10,2,493.4891986,280.2623693,54.59569601,67.4852965,97.84763529,2870 
10,1,484.6506119,117.1685748,51.25107759,63.35829337,7.618022166,2533 
11,3,281.8158751,381.4632401,40.30455053,50.80767927,54.90898203,1537 
11,4,486.6841389,326.1463581,41.64147361,45.38976856,126.1521835,1469 
11,2,496.203026,283.0221675,54.4991085,66.88105595,99.27872789,2842 
11,1,476.0813169,112.3808013,51.20100391,63.08709899,2.221110874,2521 
12,3,276.6607958,385.2309198,39.90992332,51.11255667,54.29297526,1533 
12,4,485.9382136,328.534587,41.94614241,45.71142382,135.4273245,1489 
12,2,498.8890851,286.3436948,54.36710658,66.72548108,102.7262152,2831 
12,1,468.4450138,107.7855735,51.41310383,63.28047078,0.412278477,2537 
13,3,271.9889323,388.4720052,39.9908121,51.2876044,58.15906546,1536 
13,4,485.9500342,331.2094456,41.54028115,45.32385526,131.7248652,1461 
13,2,500.4875918,289.4620762,55.3154862,66.29563894,105.0859516,2861 
13,1,460.0918085,104.0688564,51.38181324,63.02127527,177.0122075,2527 
14,3,267.5320334,391.1211699,38.32970854,50.1705997,60.41363438,1436 
14,4,485.2223729,331.9281356,41.72141498,45.38466339,153.7056632,1475 
14,2,503.2418622,291.8887207,52.73172815,65.40533858,109.2954191,2642 
14,1,451.417596,101.3791822,50.24838066,61.85809807,171.3077563,2421 
15,3,262.5265668,394.2452316,38.54289129,50.78179617,56.91088394,1468 
15,4,483.8630319,333.2493351,41.70334639,46.30465586,155.0527856,1504 
15,2,505.5804878,294.8409006,52.58189215,66.1009883,114.8022108,2665 
15,1,442.2551356,99.08792112,50.88477082,61.36227182,165.8125314,2434 
